Establishing 100 WCF channels
4/30/2018 8:44:14 PM count=977574 tasks=1024
4/30/2018 8:44:15 PM count=997633 tasks=1024
4/30/2018 8:44:16 PM count=1017599 tasks=938
4/30/2018 8:44:17 PM count=1039808 tasks=1019
4/30/2018 8:44:18 PM count=1062642 tasks=1024
4/30/2018 8:44:19 PM count=1086457 tasks=996
4/30/2018 8:44:20 PM count=1109448 tasks=1024
Waiting for all tasks to be completed...
Duration=00:00:49.5463753 Count=1110473 Rate=22412.7999934639. Min=0.3234 Max=55.5943 Avg=15.4791024421125
Establishing 100 proto/gRPC channels
4/30/2018 8:44:21 PM count=58134 tasks=1009
4/30/2018 8:44:22 PM count=120151 tasks=1023
4/30/2018 8:44:23 PM count=183064 tasks=1024
4/30/2018 8:44:24 PM count=245632 tasks=994
4/30/2018 8:44:25 PM count=306491 tasks=936
4/30/2018 8:44:26 PM count=367820 tasks=1024
4/30/2018 8:44:27 PM count=428443 tasks=1024
4/30/2018 8:44:28 PM count=490664 tasks=938
4/30/2018 8:44:29 PM count=553078 tasks=1024
4/30/2018 8:44:30 PM count=614012 tasks=903
4/30/2018 8:44:31 PM count=675259 tasks=1013
4/30/2018 8:44:32 PM count=735870 tasks=1024
4/30/2018 8:44:33 PM count=797261 tasks=992
4/30/2018 8:44:34 PM count=859023 tasks=1005
4/30/2018 8:44:35 PM count=921147 tasks=1024
4/30/2018 8:44:36 PM count=982734 tasks=1024
4/30/2018 8:44:37 PM count=1044079 tasks=949
4/30/2018 8:44:38 PM count=1105686 tasks=876
4/30/2018 8:44:39 PM count=1168269 tasks=1024
4/30/2018 8:44:40 PM count=1231045 tasks=1024
4/30/2018 8:44:41 PM count=1293140 tasks=1024
Warmup finished. reset counter.
4/30/2018 8:44:42 PM count=61181 tasks=1023
4/30/2018 8:44:43 PM count=123043 tasks=993
4/30/2018 8:44:44 PM count=184867 tasks=1013
4/30/2018 8:44:45 PM count=247056 tasks=1018
4/30/2018 8:44:46 PM count=309944 tasks=1024
4/30/2018 8:44:47 PM count=371210 tasks=970
4/30/2018 8:44:48 PM count=433526 tasks=993
4/30/2018 8:44:49 PM count=495583 tasks=1024
4/30/2018 8:44:50 PM count=557188 tasks=1019
4/30/2018 8:44:51 PM count=617486 tasks=1024
4/30/2018 8:44:52 PM count=680273 tasks=885
4/30/2018 8:44:53 PM count=739600 tasks=951
4/30/2018 8:44:54 PM count=802174 tasks=1024
4/30/2018 8:44:55 PM count=863415 tasks=848
4/30/2018 8:44:56 PM count=925364 tasks=1024
4/30/2018 8:44:57 PM count=987010 tasks=1024
4/30/2018 8:44:58 PM count=1046948 tasks=1014
4/30/2018 8:44:59 PM count=1108398 tasks=892
4/30/2018 8:45:00 PM count=1168604 tasks=850
